firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source
LA-000052,"Plauche, Smith & Nieset, LLC",Lake Charles,Calcasieu,LA,Corporate; Insurance; Labor & Employment,,,,psnlaw.com,Clutch.co
LA-000053,Proskauer,,,LA,Multiple,,,,,Sartori Partners
LA-000054,Pugh Accardo LLC,New Orleans,Orleans,LA,Corporate; Labor & Employment,2008,,,pugh-law.com,Clutch.co
LA-000055,Quintairos Prieto Wood & Boyer,,,LA,Multiple,,,,,Sartori Partners
LA-000056,"Simon, Peragine, Smith & Redfearn",New Orleans,Orleans,LA,Bankruptcy; Corporate; Insurance; Labor & Employment,,,,spsr-law.com,Clutch.co
LA-000057,Smith Law Firm,Baton Rouge,East Baton Rouge,LA,Corporate; Labor & Employment; Malpractice; Tax,1972,,,jarthursmith.com,Clutch.co
LA-000058,"Stanley, Reuter, Ross, Thornton & Alford LLC",New Orleans,Orleans,LA,Bankruptcy; Corporate; IP; Real Estate,1997,,,stanleyreuter.com,Clutch.co
LA-000059,"Sternberg, Naccari & White",Baton Rouge,East Baton Rouge,LA,Corporate; Litigation,,,,snw.law,Best Law Firms
LA-000060,Stewart Robbins & Brown LLC,Baton Rouge,East Baton Rouge,LA,Bankruptcy; Corporate,,,,stewartrobbins.com,Clutch.co
LA-000061,Stone Pigman Walther Wittmann LLC,New Orleans,Orleans,LA,Corporate; Litigation; Real Estate,,,,stonepigman.com,Best Law Firms
LA-000062,"The Baringer Law Firm, L.L.C.",Baton Rouge,East Baton Rouge,LA,Banking; Corporate; Real Estate; Tax,,,,baringerlawfirm.com,Clutch.co
LA-000063,The Thrower Law Firm,Baton Rouge,East Baton Rouge,LA,Corporate; Finance,,,,throwerfirm.com,Clutch.co
LA-000064,"Walters, Papillion, Thomas, Cullens, LLC",Baton Rouge,East Baton Rouge,LA,Corporate; Insurance,1976,,,lawbr.net,Clutch.co
LA-000065,Whitehead Jr Jack K,Baton Rouge,East Baton Rouge,LA,Bankruptcy; Banking; Corporate,,,,whitehead-law.com,Clutch.co
LA-000066,"Wiener, Weiss & Madison",Baton Rouge,East Baton Rouge,LA,Bankruptcy; Banking; Corporate; Labor & Employment; Real Estate,,,,wwmlaw.com,Clutch.co
