firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source,avvo_rating,google_rating,firm_type,status
CA-000070,Martin & Martin Law Group,Oakland,Alameda,CA,Family Law; Divorce; Custody,1985,1,(650) 555-1070,https://martinandmartinlawgroup.com,California Secretary of State + State Bar Aggregation,9.5,4.0,Solo Practice,ACTIVE
CA-000071,Adams Attorneys,Oakland,Alameda,CA,Criminal Law; White Collar Crime,1986,15,(909) 555-1071,https://adamsattorneys.com,California Secretary of State + State Bar Aggregation,9.6,4.1,Mid-Size (11-50),ACTIVE
CA-000072,The Phillips Associates,Oakland,Alameda,CA,Immigration Law; Visa Matters,1987,3,(619) 555-1072,https://thephillipsassociates.com,California Secretary of State + State Bar Aggregation,9.7,4.2,Boutique,ACTIVE
CA-000073,"Edwards, Rogers & Howard",Oakland,Alameda,CA,Bankruptcy; Debt Relief,1988,5,(949) 555-1073,https://edwardsrogersandhoward.com,California Secretary of State + State Bar Aggregation,9.8,4.3,Small Firm (2-10),ACTIVE
CA-000074,Murphy-Howard PLLC,Oakland,Alameda,CA,Environmental Law; Compliance,1989,125,(562) 555-1074,https://murphyhowardpllc.com,California Secretary of State + State Bar Aggregation,9.9,4.4,Large (50-200),ACTIVE
CA-000075,Peterson & Garcia Partners,Oakland,Alameda,CA,Estate Planning; Probate,1990,1,(323) 555-1075,https://petersonandgarciapartners.com,California Secretary of State + State Bar Aggregation,7.5,4.5,Solo Practice,ACTIVE
CA-000076,Howard LLP,Oakland,Alameda,CA,Securities Law; Compliance; Enforcement,1991,16,(661) 555-1076,https://howardllp.com,California Secretary of State + State Bar Aggregation,7.6,4.6,Mid-Size (11-50),ACTIVE
CA-000077,The Brown Legal,Oakland,Alameda,CA,Entertainment Law; Media & Broadcasting,1992,6,(831) 555-1077,https://thebrownlegal.com,California Secretary of State + State Bar Aggregation,7.7,4.7,Boutique,ACTIVE
CA-000078,"Davis, Moore & Cook",Oakland,Alameda,CA,Healthcare Law; Medical Malpractice,1993,3,(415) 555-1078,https://davismooreandcook.com,California Secretary of State + State Bar Aggregation,7.8,4.8,Small Firm (2-10),ACTIVE
CA-000079,Lopez-Roberts Law Firm,Oakland,Alameda,CA,Personal Injury; Wrongful Death,1994,148,(805) 555-1079,https://lopezrobertslawfirm.com,California Secretary of State + State Bar Aggregation,7.9,4.9,Large (50-200),ACTIVE
CA-000080,Kim & Collins Law Group,Oakland,Alameda,CA,Corporate Law; Business Formation,1995,1,(760) 555-1080,https://kimandcollinslawgroup.com,California Secretary of State + State Bar Aggregation,8.0,4.0,Solo Practice,ACTIVE
CA-000081,Jackson Attorneys,Oakland,Alameda,CA,Intellectual Property; Patent Law,1996,28,(858) 555-1081,https://jacksonattorneys.com,California Secretary of State + State Bar Aggregation,8.1,4.1,Mid-Size (11-50),ACTIVE
CA-000082,The Moore Associates,Oakland,Alameda,CA,Litigation; Civil Litigation; Trial Law,1997,10,(714) 555-1082,https://themooreassociates.com,California Secretary of State + State Bar Aggregation,8.2,4.2,Boutique,ACTIVE
CA-000083,"Nelson, Miller & Parker",Oakland,Alameda,CA,Employment Law; HR Compliance,1998,7,(213) 555-1083,https://nelsonmillerandparker.com,California Secretary of State + State Bar Aggregation,8.3,4.3,Small Firm (2-10),ACTIVE
CA-000084,The Taylor Counsel,Long Beach,Los Angeles,CA,Entertainment Law; Media & Broadcasting,1999,5,(831) 555-1084,https://thetaylorcounsel.com,California Secretary of State + State Bar Aggregation,8.4,4.4,Boutique,ACTIVE
CA-000085,"Harris, Jones & Edwards",Long Beach,Los Angeles,CA,Healthcare Law; Medical Malpractice,2000,7,(415) 555-1085,https://harrisjonesandedwards.com,California Secretary of State + State Bar Aggregation,8.5,4.5,Small Firm (2-10),ACTIVE
CA-000086,Green-Hernandez Partners,Long Beach,Los Angeles,CA,Personal Injury; Wrongful Death,2001,141,(805) 555-1086,https://greenhernandezpartners.com,California Secretary of State + State Bar Aggregation,8.6,4.6,Large (50-200),ACTIVE
CA-000087,Roberts & Anderson Attorneys,Long Beach,Los Angeles,CA,Corporate Law; Business Formation,2002,1,(760) 555-1087,https://robertsandandersonattorneys.com,California Secretary of State + State Bar Aggregation,8.7,4.7,Solo Practice,ACTIVE
CA-000088,Evans Associates,Long Beach,Los Angeles,CA,Intellectual Property; Patent Law,2003,24,(858) 555-1088,https://evansassociates.com,California Secretary of State + State Bar Aggregation,8.8,4.8,Mid-Size (11-50),ACTIVE
CA-000089,The Morris LLC,Long Beach,Los Angeles,CA,Litigation; Civil Litigation; Trial Law,2004,13,(714) 555-1089,https://themorrisllc.com,California Secretary of State + State Bar Aggregation,8.9,4.9,Boutique,ACTIVE
CA-000090,"Morgan, Edwards & Nelson",Long Beach,Los Angeles,CA,Employment Law; HR Compliance,2005,6,(213) 555-1090,https://morganedwardsandnelson.com,California Secretary of State + State Bar Aggregation,9.0,4.0,Small Firm (2-10),ACTIVE
CA-000091,Bell-Rogers Law Group,Long Beach,Los Angeles,CA,Real Estate; Property Law,2006,69,(818) 555-1091,https://bellrogerslawgroup.com,California Secretary of State + State Bar Aggregation,9.1,4.1,Large (50-200),ACTIVE
CA-000092,Williams & Howard LLP,Long Beach,Los Angeles,CA,Family Law; Divorce; Custody,2007,1,(559) 555-1092,https://williamsandhowardllp.com,California Secretary of State + State Bar Aggregation,9.2,4.2,Solo Practice,ACTIVE
CA-000093,Miller Legal,Long Beach,Los Angeles,CA,Criminal Law; White Collar Crime,2008,49,(510) 555-1093,https://millerlegal.com,California Secretary of State + State Bar Aggregation,9.3,4.3,Mid-Size (11-50),ACTIVE
CA-000094,The Hernandez Counsel,Long Beach,Los Angeles,CA,Immigration Law; Visa Matters,2009,13,(650) 555-1094,https://thehernandezcounsel.com,California Secretary of State + State Bar Aggregation,9.4,4.4,Boutique,ACTIVE
CA-000095,"Chen, Taylor & White",Long Beach,Los Angeles,CA,Bankruptcy; Debt Relief,2010,4,(909) 555-1095,https://chentaylorandwhite.com,California Secretary of State + State Bar Aggregation,9.5,4.5,Small Firm (2-10),ACTIVE
CA-000096,Thomas-Moore Partners,Long Beach,Los Angeles,CA,Environmental Law; Compliance,2011,187,(619) 555-1096,https://thomasmoorepartners.com,California Secretary of State + State Bar Aggregation,9.6,4.6,Large (50-200),ACTIVE
CA-000097,Martin & Roberts Attorneys,Long Beach,Los Angeles,CA,Estate Planning; Probate,2012,1,(949) 555-1097,https://martinandrobertsattorneys.com,California Secretary of State + State Bar Aggregation,9.7,4.7,Solo Practice,ACTIVE
CA-000098,Gonzalez-Harris Attorneys,San Jose,Santa Clara,CA,Real Estate; Property Law,2013,113,(818) 555-1098,https://gonzalezharrisattorneys.com,California Secretary of State + State Bar Aggregation,9.8,4.8,Large (50-200),ACTIVE
CA-000099,Anderson & Nelson Legal,San Jose,Santa Clara,CA,Family Law; Divorce; Custody,2014,1,(559) 555-1099,https://andersonandnelsonlegal.com,California Secretary of State + State Bar Aggregation,9.9,4.9,Solo Practice,ACTIVE
CA-000100,White Counsel,San Jose,Santa Clara,CA,Criminal Law; White Collar Crime,2015,21,(510) 555-1100,https://whitecounsel.com,California Secretary of State + State Bar Aggregation,7.5,4.0,Mid-Size (11-50),ACTIVE
CA-000101,The Young PLLC,San Jose,Santa Clara,CA,Immigration Law; Visa Matters,2016,10,(650) 555-1101,https://theyoungpllc.com,California Secretary of State + State Bar Aggregation,7.6,4.1,Boutique,ACTIVE
CA-000102,"Carter, Bell & Kim",San Jose,Santa Clara,CA,Bankruptcy; Debt Relief,2017,8,(909) 555-1102,https://carterbellandkim.com,California Secretary of State + State Bar Aggregation,7.7,4.2,Small Firm (2-10),ACTIVE
CA-000103,Parker-Jones LLP,San Jose,Santa Clara,CA,Environmental Law; Compliance,2018,120,(619) 555-1103,https://parkerjonesllp.com,California Secretary of State + State Bar Aggregation,7.8,4.3,Large (50-200),ACTIVE
CA-000104,Reeves & Hernandez Associates,San Jose,Santa Clara,CA,Estate Planning; Probate,2019,1,(949) 555-1104,https://reevesandhernandezassociates.com,California Secretary of State + State Bar Aggregation,7.9,4.4,Solo Practice,ACTIVE
CA-000105,Rogers LLC,San Jose,Santa Clara,CA,Securities Law; Compliance; Enforcement,2020,46,(562) 555-1105,https://rogersllc.com,California Secretary of State + State Bar Aggregation,8.0,4.5,Mid-Size (11-50),ACTIVE
CA-000106,The Reed Law Firm,San Jose,Santa Clara,CA,Entertainment Law; Media & Broadcasting,2021,6,(323) 555-1106,https://thereedlawfirm.com,California Secretary of State + State Bar Aggregation,8.1,4.6,Boutique,ACTIVE
CA-000107,"Johnson, Carter & Rodriguez",San Jose,Santa Clara,CA,Healthcare Law; Medical Malpractice,2022,7,(661) 555-1107,https://johnsoncarterandrodriguez.com,California Secretary of State + State Bar Aggregation,8.2,4.7,Small Firm (2-10),ACTIVE
CA-000108,Garcia-Edwards Attorneys,San Jose,Santa Clara,CA,Personal Injury; Wrongful Death,2023,65,(831) 555-1108,https://garciaedwardsattorneys.com,California Secretary of State + State Bar Aggregation,8.3,4.8,Large (50-200),ACTIVE
CA-000109,Martinez & Rogers Legal,San Jose,Santa Clara,CA,Corporate Law; Business Formation,2024,1,(415) 555-1109,https://martinezandrogerslegal.com,California Secretary of State + State Bar Aggregation,8.4,4.9,Solo Practice,ACTIVE
CA-000110,Lee Counsel,San Jose,Santa Clara,CA,Intellectual Property; Patent Law,1970,25,(805) 555-1110,https://leecounsel.com,California Secretary of State + State Bar Aggregation,8.5,4.0,Mid-Size (11-50),ACTIVE
CA-000111,The Taylor PLLC,San Jose,Santa Clara,CA,Litigation; Civil Litigation; Trial Law,1971,3,(760) 555-1111,https://thetaylorpllc.com,California Secretary of State + State Bar Aggregation,8.6,4.1,Boutique,ACTIVE
CA-000112,Davis Law Firm,Bakersfield,Kern,CA,Securities Law; Compliance; Enforcement,1972,31,(562) 555-1112,https://davislawfirm.com,California Secretary of State + State Bar Aggregation,8.7,4.2,Mid-Size (11-50),ACTIVE
CA-000113,The Lopez Partners,Bakersfield,Kern,CA,Entertainment Law; Media & Broadcasting,1973,9,(323) 555-1113,https://thelopezpartners.com,California Secretary of State + State Bar Aggregation,8.8,4.3,Boutique,ACTIVE
CA-000114,"Kim, Martinez & Brown",Bakersfield,Kern,CA,Healthcare Law; Medical Malpractice,1974,6,(661) 555-1114,https://kimmartinezandbrown.com,California Secretary of State + State Bar Aggregation,8.9,4.4,Small Firm (2-10),ACTIVE
CA-000115,Jackson-Kim Associates,Bakersfield,Kern,CA,Personal Injury; Wrongful Death,1975,67,(831) 555-1115,https://jacksonkimassociates.com,California Secretary of State + State Bar Aggregation,9.0,4.5,Large (50-200),ACTIVE
CA-000116,Moore & Harris Counsel,Bakersfield,Kern,CA,Corporate Law; Business Formation,1976,1,(415) 555-1116,https://mooreandharriscounsel.com,California Secretary of State + State Bar Aggregation,9.1,4.6,Solo Practice,ACTIVE
CA-000117,Nelson PLLC,Bakersfield,Kern,CA,Intellectual Property; Patent Law,1977,24,(805) 555-1117,https://nelsonpllc.com,California Secretary of State + State Bar Aggregation,9.2,4.7,Mid-Size (11-50),ACTIVE
CA-000118,The Campbell Law Group,Bakersfield,Kern,CA,Litigation; Civil Litigation; Trial Law,1978,12,(760) 555-1118,https://thecampbelllawgroup.com,California Secretary of State + State Bar Aggregation,9.3,4.8,Boutique,ACTIVE
CA-000119,"Collins, Cook & Cooper",Bakersfield,Kern,CA,Employment Law; HR Compliance,1979,7,(858) 555-1119,https://collinscookandcooper.com,California Secretary of State + State Bar Aggregation,9.4,4.9,Small Firm (2-10),ACTIVE
