firm_id,firm_name,city,county,state,practice_areas,year_founded,estimated_attorney_count,phone,website,verified_source,firm_type,status
GA-000049,Clark Legal,Atlanta,Fulton,GA,Corporate Law; Construction Law,1975,34,(678) 218-6134,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000050,Murphy & Associates,Atlanta,Fulton,GA,Tax Law; Mergers & Acquisitions,1968,16,(912) 859-3667,https://attorney3543.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000051,Hernandez Law Group,Atlanta,Fulton,GA,Business Law; DUI Defense,1977,24,(678) 807-9663,https://lawyers6623.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000052,"Parker, Sanchez & White",Atlanta,Fulton,GA,Mergers & Acquisitions; Intellectual Property,1984,46,(706) 571-5241,https://attorney1867.com,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000053,Morris Law Group,Atlanta,Fulton,GA,Environmental Law; Litigation,1997,34,(478) 317-8185,https://law476.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000054,Torres & Edwards LLP,Atlanta,Fulton,GA,Real Estate; Divorce,2020,31,(478) 288-4257,https://lawyers5406.net,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000055,The Perez Law Firm,Atlanta,Fulton,GA,Immigration Law; Mergers & Acquisitions,2022,2,(404) 712-8791,https://lawyers7748.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000056,Wright & Associates,Atlanta,Fulton,GA,Environmental Law; Estate Planning,1980,22,(470) 532-5092,https://firm6066.com,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000057,"Martinez, Anderson & Torres",Atlanta,Fulton,GA,Environmental Law; Immigration Law,1981,35,(470) 844-1284,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000058,Peterson Law Group,Atlanta,Fulton,GA,Real Estate; Probate,1994,35,(912) 411-9604,https://attorney4586.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000059,Allen Legal,Atlanta,Fulton,GA,Admiralty Law; Business Law,2011,2,(478) 630-5306,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000060,Lewis & Associates,Atlanta,Fulton,GA,Commercial Litigation; Corporate Law,2015,19,(229) 221-2849,https://attorney8568.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000061,Murphy & Associates,Atlanta,Fulton,GA,Probate; Bankruptcy,2007,39,(706) 295-2936,https://lawyers5103.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000062,Rodriguez & Associates,Atlanta,Fulton,GA,Tax Law; Intellectual Property,2022,46,(706) 384-8149,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000063,Peterson Law Group,Atlanta,Fulton,GA,Mergers & Acquisitions; Tax Law,2015,1,(478) 202-9124,https://lawyers8179.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000064,Jackson Law Group,Atlanta,Fulton,GA,Business Law; Personal Injury,1996,49,(229) 664-3596,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000065,"Walker, Campbell & Perez",Atlanta,Fulton,GA,Healthcare Law; Construction Law,2002,1,(762) 562-1981,https://lawyers4424.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000066,Wright & Miller LLP,Atlanta,Fulton,GA,Tax Law; Estate Planning,1970,14,(770) 498-5895,https://legal5062.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000067,Wright Law Group,Atlanta,Fulton,GA,Bankruptcy; Commercial Litigation,2021,7,(770) 581-2238,https://lawyers1979.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000068,Parker Legal,Atlanta,Fulton,GA,Litigation; Business Law,1999,29,(478) 394-3783,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000069,Perez & Associates,Atlanta,Fulton,GA,Estate Planning; Corporate Law,1961,12,(706) 814-6958,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000070,Johnson Law Group,Atlanta,Fulton,GA,Real Estate; Tax Law,1961,18,(770) 781-9552,https://legal1523.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000071,Gonzalez & Perez LLP,Atlanta,Fulton,GA,Civil Litigation; Bankruptcy,2012,49,(478) 537-8203,https://law9793.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000072,"Thomas, Miller & King",Atlanta,Fulton,GA,Mergers & Acquisitions; Corporate Law,1989,50,(912) 965-5004,https://attorney3343.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000073,Jones & Associates,Atlanta,Fulton,GA,Probate; Commercial Litigation,2015,12,(770) 322-6282,https://attorney4434.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000074,Young Law Group,Atlanta,Fulton,GA,Commercial Litigation; Mergers & Acquisitions,1982,38,(912) 502-2823,https://legal2847.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000075,Sanchez & Campbell LLP,Atlanta,Fulton,GA,Bankruptcy; Construction Law,2016,28,(478) 678-4037,https://firm7128.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000076,The Moore Law Firm,Atlanta,Fulton,GA,Tax Law; Mergers & Acquisitions,2018,45,(770) 809-9404,https://attorney7266.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000077,Murphy & Associates,Atlanta,Fulton,GA,Corporate Law; Commercial Litigation,2001,16,(478) 769-6637,https://lawyers5497.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000078,"Sanchez, Lewis & Reeves",Atlanta,Fulton,GA,Healthcare Law; Construction Law,1963,17,(706) 449-8593,https://law705.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000079,Lee Law Group,Atlanta,Fulton,GA,Personal Injury; Family Law,1981,50,(470) 521-2724,https://legal7346.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000080,"Johnson, Clark & Garcia",Atlanta,Fulton,GA,Real Estate; Immigration Law,1991,40,(478) 423-8464,https://law8820.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000081,Allen & Associates,Atlanta,Fulton,GA,Corporate Law; Probate,1979,5,(478) 758-5062,https://attorney1270.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000082,Ramirez & Associates,Atlanta,Fulton,GA,Mergers & Acquisitions; Criminal Defense,2005,45,(770) 836-5732,https://law5902.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000083,Hernandez & Peterson LLP,Atlanta,Fulton,GA,Corporate Law; Admiralty Law,2015,17,(478) 826-4735,https://law6364.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000084,Young Legal,Atlanta,Fulton,GA,Administrative Law; Securities Law,1973,42,(229) 552-5155,https://law7338.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000085,Gonzalez & Associates,Atlanta,Fulton,GA,Healthcare Law; Tax Law,1963,26,(478) 483-6317,https://firm4946.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000086,Taylor Law Group,Atlanta,Fulton,GA,Civil Litigation; Personal Injury,2017,5,(470) 511-3348,https://legal9707.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000087,Rodriguez Legal,Atlanta,Fulton,GA,Securities Law; Intellectual Property,2021,22,(762) 900-6388,https://legal8692.com,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000088,Martin Law Group,Atlanta,Fulton,GA,Securities Law; Administrative Law,1979,14,(912) 415-6363,https://attorney3375.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000089,Wilson Law Group,Atlanta,Fulton,GA,Employment Law; Immigration Law,1974,32,(678) 622-5589,https://attorney9574.legal,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000090,Peterson Law Group,Atlanta,Fulton,GA,Probate; Patent Law,1976,38,(678) 671-3626,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000091,Allen & Torres LLP,Atlanta,Fulton,GA,Divorce; Criminal Defense,1997,10,(706) 889-6987,https://firm3579.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000092,Collins & Associates,Atlanta,Fulton,GA,Litigation; Securities Law,1985,2,(912) 661-7557,https://law8886.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000093,Harris Law Group,Atlanta,Fulton,GA,Corporate Law; Admiralty Law,1978,13,(912) 443-3552,https://attorney4665.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000094,Brown Legal,Atlanta,Fulton,GA,Environmental Law; Securities Law,1988,2,(229) 252-9180,https://law4128.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000095,Davis Law Group,Atlanta,Fulton,GA,Patent Law; Administrative Law,1982,20,(470) 925-7659,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000096,Martinez Law Group,Atlanta,Fulton,GA,Employment Law; Estate Planning,1974,11,(404) 662-7373,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000097,Garcia Law Group,Atlanta,Fulton,GA,Divorce; Real Estate,2014,13,(770) 348-9001,https://firm2518.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000098,Wilson Law Group,Atlanta,Fulton,GA,Divorce; Commercial Litigation,1984,3,(678) 278-9745,https://attorney2416.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000099,Martin Law Group,Atlanta,Fulton,GA,Environmental Law; Personal Injury,1989,36,(912) 837-8614,https://attorney7146.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000100,Allen Legal,Atlanta,Fulton,GA,Administrative Law; Divorce,2010,28,(229) 478-2034,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000101,Perez Law Group,Atlanta,Fulton,GA,Healthcare Law; DUI Defense,2019,18,(706) 389-2653,https://firm1559.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000102,The Wright Law Firm,Atlanta,Fulton,GA,Healthcare Law; Construction Law,1994,3,(762) 543-4116,https://lawyers4588.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000103,Williams Law Group,Atlanta,Fulton,GA,Immigration Law; Probate,1988,6,(478) 348-7348,https://lawyers835.net,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000104,White & Ramirez LLP,Atlanta,Fulton,GA,Tax Law; Litigation,1977,30,(706) 585-8329,https://legal6744.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000105,Martin Legal,Atlanta,Fulton,GA,Mergers & Acquisitions; Divorce,1997,8,(478) 295-6921,https://lawyers2630.org,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000106,"Young, Thomas & Campbell",Atlanta,Fulton,GA,Litigation; Healthcare Law,1987,37,(678) 606-2748,https://firm517.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000107,The Allen Law Firm,Atlanta,Fulton,GA,Healthcare Law; Securities Law,1993,13,(770) 323-5961,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000108,The Lee Law Firm,Atlanta,Fulton,GA,Mergers & Acquisitions; Corporate Law,2001,3,(478) 201-6378,https://law4688.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000109,Martin Legal,Atlanta,Fulton,GA,Criminal Defense; Admiralty Law,1986,25,(470) 903-7743,https://legal535.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000110,Young Law Group,Atlanta,Fulton,GA,Civil Litigation; Employment Law,1994,4,(762) 690-3522,https://firm418.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000111,Edwards Legal,Atlanta,Fulton,GA,Probate; Corporate Law,1975,22,(478) 359-6230,,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000112,"Taylor, Smith & King",Atlanta,Fulton,GA,Immigration Law; Administrative Law,1969,44,(706) 546-5384,https://law8415.com,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000113,Lopez & Associates,Atlanta,Fulton,GA,DUI Defense; Family Law,1993,28,(762) 605-3514,https://law7051.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000114,The Lopez Law Firm,Atlanta,Fulton,GA,Civil Litigation; Estate Planning,1989,31,(404) 972-9511,https://law2424.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000115,Smith Legal,Atlanta,Fulton,GA,Employment Law; Commercial Litigation,1988,37,(678) 762-1377,,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000116,Murphy Law Group,Atlanta,Fulton,GA,Environmental Law; Immigration Law,1993,47,(229) 906-7787,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000117,King Law Group,Atlanta,Fulton,GA,Mergers & Acquisitions; Patent Law,2009,38,(404) 903-2187,https://firm8704.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000118,King Law Group,Atlanta,Fulton,GA,Immigration Law; Real Estate,1988,3,(912) 917-5890,https://lawyers4845.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000119,Collins & Associates,Atlanta,Fulton,GA,Healthcare Law; Admiralty Law,2001,41,(912) 510-1984,https://law7618.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000120,Smith Legal,Atlanta,Fulton,GA,Employment Law; Estate Planning,1977,5,(478) 469-1826,https://attorney8449.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000121,Morris Legal,Atlanta,Fulton,GA,Mergers & Acquisitions; Real Estate,1970,19,(478) 570-9068,https://firm4175.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000122,Perez Legal,Atlanta,Fulton,GA,Patent Law; Estate Planning,1979,46,(706) 644-3658,,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000123,Campbell Legal,Atlanta,Fulton,GA,Real Estate; Probate,2016,9,(478) 476-9301,https://legal2908.law,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000124,Gonzalez Legal,Atlanta,Fulton,GA,Corporate Law; Admiralty Law,1980,39,(470) 874-3682,https://legal6998.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000125,Morris & Torres LLP,Atlanta,Fulton,GA,Mergers & Acquisitions; Environmental Law,1979,10,(478) 764-7191,https://attorney908.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000126,Thomas Legal,Atlanta,Fulton,GA,DUI Defense; Environmental Law,1978,5,(770) 940-4209,https://firm6666.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000127,"Brown, Jones & Lewis",Atlanta,Fulton,GA,Mergers & Acquisitions; Estate Planning,2020,43,(706) 467-3622,https://lawyers805.law,Georgia State Bar Public Directory,Solo Practice,ACTIVE
GA-000128,Edwards & Associates,Atlanta,Fulton,GA,Personal Injury; Intellectual Property,2003,5,(470) 928-4018,https://lawyers5663.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000129,Parker & Robinson LLP,Atlanta,Fulton,GA,Immigration Law; Business Law,1995,9,(770) 857-7383,https://lawyers4644.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000130,The Robinson Law Firm,Atlanta,Fulton,GA,Corporate Law; Business Law,2008,7,(404) 423-7890,https://attorney6029.com,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000131,Phillips Law Group,Atlanta,Fulton,GA,Real Estate; Business Law,1976,21,(678) 844-4694,https://attorney513.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000132,Morris Legal,Atlanta,Fulton,GA,Criminal Defense; Environmental Law,1964,42,(404) 478-4389,https://lawyers8845.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000133,Williams Legal,Atlanta,Fulton,GA,Admiralty Law; Estate Planning,2015,2,(478) 443-7940,,Georgia State Bar Public Directory,Small Firm (2-10),ACTIVE
GA-000134,"Thompson, Hernandez & White",Atlanta,Fulton,GA,Tax Law; Securities Law,1990,41,(912) 666-7796,https://lawyers720.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000135,Johnson & Associates,Atlanta,Fulton,GA,Immigration Law; Administrative Law,2016,22,(706) 967-9275,https://law6717.org,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000136,"Gonzalez, Robinson & Gonzalez",Atlanta,Fulton,GA,Real Estate; Administrative Law,2002,7,(478) 296-5131,https://firm5489.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000137,White Law Group,Atlanta,Fulton,GA,Divorce; DUI Defense,2015,38,(478) 540-5381,https://lawyers9538.com,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000138,Martin & Associates,Atlanta,Fulton,GA,Environmental Law; Business Law,2013,20,(912) 814-5998,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000139,Lee Legal,Atlanta,Fulton,GA,Civil Litigation; Construction Law,1961,25,(912) 546-4962,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000140,Wright Legal,Atlanta,Fulton,GA,Employment Law; Administrative Law,2020,33,(470) 801-3927,https://legal6108.legal,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000141,Harris & Anderson LLP,Atlanta,Fulton,GA,Environmental Law; Business Law,1985,7,(678) 644-8534,,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
GA-000142,Reeves & Associates,Atlanta,Fulton,GA,Probate; Securities Law,1994,36,(706) 464-5295,https://attorney9936.net,Georgia State Bar Public Directory,Mid-Size (11-50),ACTIVE
